dest_node,source_node,weight,source_class,dest_class,edge_class
262,582,1,0,1,0-1
363,576,1,0,1,0-1
122,420,1,0,1,0-1
259,744,1,0,1,0-1
212,712,1,0,1,0-1
262,824,1,0,1,0-1
17,773,1,0,1,0-1
63,469,1,0,1,0-1
404,894,1,0,1,0-1
367,859,1,0,1,0-1
103,739,1,0,1,0-1
49,650,1,0,1,0-1
363,848,1,0,1,0-1
368,650,1,0,1,0-1
98,773,1,0,1,0-1
163,565,1,0,1,0-1
368,819,1,0,1,0-1
98,876,1,0,1,0-1
348,619,1,0,1,0-1
17,876,1,0,1,0-1
197,755,1,0,1,0-1
209,472,1,0,1,0-1
349,465,1,0,1,0-1
193,538,1,0,1,0-1
363,722,1,0,1,0-1
363,824,1,0,1,0-1
270,432,1,0,1,0-1
212,712,1,0,1,0-1
104,540,1,0,1,0-1
10,859,1,0,1,0-1
323,679,1,0,1,0-1
225,652,1,0,1,0-1
363,848,1,0,1,0-1
304,546,1,0,1,0-1
203,576,1,0,1,0-1
106,565,1,0,1,0-1
103,744,1,0,1,0-1
349,465,1,0,1,0-1
167,572,1,0,1,0-1
250,824,1,0,1,0-1
159,523,1,0,1,0-1
147,548,1,0,1,0-1
292,859,1,0,1,0-1
169,520,1,0,1,0-1
270,432,1,0,1,0-1
291,687,1,0,1,0-1
118,860,1,0,1,0-1
34,417,1,0,1,0-1
368,817,1,0,1,0-1
169,599,1,0,1,0-1
212,586,1,0,1,0-1
9,523,1,0,1,0-1
9,519,1,0,1,0-1
278,565,1,0,1,0-1
268,518,1,0,1,0-1
262,713,1,0,1,0-1
9,545,1,0,1,0-1
436,824,1,1,1,1-1
106,824,1,0,1,0-1
220,824,1,0,1,0-1
172,848,1,0,1,0-1
9,597,1,0,1,0-1
68,555,1,0,1,0-1
49,808,1,0,1,0-1
212,488,1,0,1,0-1
212,586,1,0,1,0-1
258,834,1,0,1,0-1
225,411,1,0,1,0-1
355,894,1,0,1,0-1
220,824,1,0,1,0-1
104,568,1,0,1,0-1
132,841,1,0,1,0-1
287,773,1,0,1,0-1
85,677,1,0,1,0-1
195,894,1,0,1,0-1
159,523,1,0,1,0-1
65,540,1,0,1,0-1
177,877,1,0,1,0-1
345,803,1,0,1,0-1
104,773,1,0,1,0-1
220,824,1,0,1,0-1
63,894,1,0,1,0-1
192,540,1,0,1,0-1
452,850,1,1,1,1-1
85,445,1,0,1,0-1
263,493,1,0,1,0-1
147,718,1,0,1,0-1
169,544,1,0,1,0-1
278,609,1,0,1,0-1
217,612,1,0,1,0-1
436,786,1,1,1,1-1
52,817,1,0,1,0-1
262,561,1,0,1,0-1
10,810,1,0,1,0-1
13,547,1,0,1,0-1
315,881,1,0,1,0-1
278,894,1,0,1,0-1
45,490,1,0,1,0-1
205,829,1,0,1,0-1
85,894,1,0,1,0-1
246,648,1,0,1,0-1
104,540,1,0,1,0-1
278,587,1,0,1,0-1
436,474,1,1,1,1-1
167,465,1,0,1,0-1
236,894,1,0,1,0-1
104,424,1,0,1,0-1
163,523,1,0,1,0-1
370,584,1,0,1,0-1
315,565,1,0,1,0-1
390,735,1,0,1,0-1
231,545,1,0,1,0-1
335,723,1,0,1,0-1
230,480,1,0,1,0-1
259,744,1,0,1,0-1
383,563,1,0,1,0-1
195,894,1,0,1,0-1
159,894,1,0,1,0-1
228,685,1,0,1,0-1
436,764,1,1,1,1-1
436,588,1,1,1,1-1
726,548,1,1,1,1-1
366,698,1,0,1,0-1
86,903,1,0,1,0-1
228,685,1,0,1,0-1
187,881,1,0,1,0-1
105,485,1,0,1,0-1
296,436,1,0,1,0-1
278,824,1,0,1,0-1
112,418,1,0,1,0-1
220,492,1,0,1,0-1
66,566,1,0,1,0-1
398,460,1,0,1,0-1
234,540,1,0,1,0-1
256,545,1,0,1,0-1
261,480,1,0,1,0-1
152,417,1,0,1,0-1
104,727,1,0,1,0-1
225,422,1,0,1,0-1
80,583,1,0,1,0-1
65,835,1,0,1,0-1
278,714,1,0,1,0-1
57,848,1,0,1,0-1
208,855,1,0,1,0-1
245,620,1,0,1,0-1
403,556,1,0,1,0-1
154,656,1,0,1,0-1
406,648,1,0,1,0-1
300,545,1,0,1,0-1
328,655,1,0,1,0-1
108,589,1,0,1,0-1
151,714,1,0,1,0-1
302,704,1,0,1,0-1
172,659,1,0,1,0-1
116,841,1,0,1,0-1
195,475,1,0,1,0-1
275,831,1,0,1,0-1
133,832,1,0,1,0-1
104,697,1,0,1,0-1
315,468,1,0,1,0-1
386,442,1,0,1,0-1
28,426,1,0,1,0-1
183,675,1,0,1,0-1
278,894,1,0,1,0-1
36,810,1,0,1,0-1
363,848,1,0,1,0-1
217,665,1,0,1,0-1
43,657,1,0,1,0-1
317,815,1,0,1,0-1
366,632,1,0,1,0-1
60,833,1,0,1,0-1
174,509,1,0,1,0-1
259,733,1,0,1,0-1
155,545,1,0,1,0-1
204,753,1,0,1,0-1
301,620,1,0,1,0-1
108,448,1,0,1,0-1
85,744,1,0,1,0-1
89,508,1,0,1,0-1
302,608,1,0,1,0-1
347,538,1,0,1,0-1
52,495,1,0,1,0-1
56,711,1,0,1,0-1
235,523,1,0,1,0-1
75,611,1,0,1,0-1
256,545,1,0,1,0-1
323,687,1,0,1,0-1
124,807,1,0,1,0-1
386,660,1,0,1,0-1
224,769,1,0,1,0-1
50,892,1,0,1,0-1
343,565,1,0,1,0-1
139,714,1,0,1,0-1
213,728,1,0,1,0-1
187,714,1,0,1,0-1
317,815,1,0,1,0-1
355,894,1,0,1,0-1
285,861,1,0,1,0-1
132,778,1,0,1,0-1
104,723,1,0,1,0-1
170,771,1,0,1,0-1
726,792,1,1,1,1-1
726,726,1,1,1,1-1
374,861,1,0,1,0-1
429,805,1,1,1,1-1
191,687,1,0,1,0-1
125,739,1,0,1,0-1
406,748,1,0,1,0-1
342,873,1,0,1,0-1
7,549,1,0,1,0-1
81,492,1,0,1,0-1
106,545,1,0,1,0-1
273,492,1,0,1,0-1
57,779,1,0,1,0-1
85,837,1,0,1,0-1
324,741,1,0,1,0-1
165,836,1,0,1,0-1
278,714,1,0,1,0-1
132,878,1,0,1,0-1
200,861,1,0,1,0-1
317,815,1,0,1,0-1
10,851,1,0,1,0-1
125,602,1,0,1,0-1
9,714,1,0,1,0-1
452,452,1,1,1,1-1
98,876,1,0,1,0-1
84,419,1,0,1,0-1
175,841,1,0,1,0-1
293,529,1,0,1,0-1
60,882,1,0,1,0-1
344,411,1,0,1,0-1
284,565,1,0,1,0-1
726,726,1,1,1,1-1
134,630,1,0,1,0-1
278,630,1,0,1,0-1
188,896,1,0,1,0-1
360,492,1,0,1,0-1
235,666,1,0,1,0-1
38,561,1,0,1,0-1
248,484,1,0,1,0-1
7,687,1,0,1,0-1
220,492,1,0,1,0-1
360,881,1,0,1,0-1
329,765,1,0,1,0-1
89,557,1,0,1,0-1
213,454,1,0,1,0-1
236,723,1,0,1,0-1
158,576,1,0,1,0-1
346,875,1,0,1,0-1
221,667,1,0,1,0-1
70,453,1,0,1,0-1
395,829,1,0,1,0-1
392,718,1,0,1,0-1
50,848,1,0,1,0-1
257,896,1,0,1,0-1
638,714,1,1,1,1-1
281,876,1,0,1,0-1
384,809,1,0,1,0-1
67,802,1,0,1,0-1
130,898,1,0,1,0-1
23,463,1,0,1,0-1
11,803,1,0,1,0-1
352,673,1,0,1,0-1
196,859,1,0,1,0-1
278,714,1,0,1,0-1
278,715,1,0,1,0-1
20,667,1,0,1,0-1
407,416,1,0,1,0-1
52,687,1,0,1,0-1
305,577,1,0,1,0-1
11,803,1,0,1,0-1
243,435,1,0,1,0-1
47,834,1,0,1,0-1
395,533,1,0,1,0-1
37,728,1,0,1,0-1
31,636,1,0,1,0-1
35,900,1,0,1,0-1
12,466,1,0,1,0-1
7,631,1,0,1,0-1
250,657,1,0,1,0-1
50,673,1,0,1,0-1
239,762,1,0,1,0-1
86,821,1,0,1,0-1
195,475,1,0,1,0-1
50,768,1,0,1,0-1
371,761,1,0,1,0-1
330,887,1,0,1,0-1
281,704,1,0,1,0-1
392,687,1,0,1,0-1
132,686,1,0,1,0-1
153,676,1,0,1,0-1
250,896,1,0,1,0-1
159,888,1,0,1,0-1
106,545,1,0,1,0-1
220,492,1,0,1,0-1
276,834,1,0,1,0-1
52,687,1,0,1,0-1
156,635,1,0,1,0-1
399,511,1,0,1,0-1
222,896,1,0,1,0-1
129,425,1,0,1,0-1
101,491,1,0,1,0-1
262,561,1,0,1,0-1
141,709,1,0,1,0-1
204,672,1,0,1,0-1
172,659,1,0,1,0-1
4,882,1,0,1,0-1
4,882,1,0,1,0-1
118,878,1,0,1,0-1
186,760,1,0,1,0-1
370,741,1,0,1,0-1
343,581,1,0,1,0-1
2,701,1,0,1,0-1
240,539,1,0,1,0-1
317,841,1,0,1,0-1
341,865,1,0,1,0-1
113,601,1,0,1,0-1
429,880,1,1,1,1-1
20,545,1,0,1,0-1
26,765,1,0,1,0-1
118,691,1,0,1,0-1
63,611,1,0,1,0-1
246,655,1,0,1,0-1
278,645,1,0,1,0-1
189,739,1,0,1,0-1
204,672,1,0,1,0-1
117,492,1,0,1,0-1
192,613,1,0,1,0-1
109,461,1,0,1,0-1
252,847,1,0,1,0-1
343,568,1,0,1,0-1
545,545,1,1,1,1-1
358,861,1,0,1,0-1
429,876,1,1,1,1-1
94,667,1,0,1,0-1
89,425,1,0,1,0-1
71,448,1,0,1,0-1
306,462,1,0,1,0-1
392,492,1,0,1,0-1
344,480,1,0,1,0-1
312,428,1,0,1,0-1
686,773,1,1,1,1-1
353,657,1,0,1,0-1
247,514,1,0,1,0-1
135,554,1,0,1,0-1
95,815,1,0,1,0-1
726,726,1,1,1,1-1
276,845,1,0,1,0-1
144,866,1,0,1,0-1
245,620,1,0,1,0-1
395,829,1,0,1,0-1
99,695,1,0,1,0-1
160,728,1,0,1,0-1
343,684,1,0,1,0-1
118,613,1,0,1,0-1
299,682,1,0,1,0-1
101,889,1,0,1,0-1
182,417,1,0,1,0-1
187,492,1,0,1,0-1
64,887,1,0,1,0-1
140,794,1,0,1,0-1
281,852,1,0,1,0-1
726,451,1,1,1,1-1
29,858,1,0,1,0-1
6,742,1,0,1,0-1
393,887,1,0,1,0-1
231,540,1,0,1,0-1
91,611,1,0,1,0-1
244,621,1,0,1,0-1
161,622,1,0,1,0-1
90,543,1,0,1,0-1
365,531,1,0,1,0-1
11,483,1,0,1,0-1
278,803,1,0,1,0-1
339,507,1,0,1,0-1
405,550,1,0,1,0-1
142,856,1,0,1,0-1
274,688,1,0,1,0-1
268,518,1,0,1,0-1
88,629,1,0,1,0-1
395,641,1,0,1,0-1
320,707,1,0,1,0-1
334,476,1,0,1,0-1
328,720,1,0,1,0-1
172,634,1,0,1,0-1
119,757,1,0,1,0-1
62,838,1,0,1,0-1
287,600,1,0,1,0-1
34,714,1,0,1,0-1
252,635,1,0,1,0-1
196,848,1,0,1,0-1
400,521,1,0,1,0-1
86,658,1,0,1,0-1
369,643,1,0,1,0-1
26,687,1,0,1,0-1
8,862,1,0,1,0-1
74,731,1,0,1,0-1
86,579,1,0,1,0-1
278,736,1,0,1,0-1
47,741,1,0,1,0-1
178,501,1,0,1,0-1
287,600,1,0,1,0-1
317,815,1,0,1,0-1
176,814,1,0,1,0-1
297,534,1,0,1,0-1
391,825,1,0,1,0-1
353,486,1,0,1,0-1
326,425,1,0,1,0-1
399,413,1,0,1,0-1
48,897,1,0,1,0-1
87,680,1,0,1,0-1
9,443,1,0,1,0-1
155,517,1,0,1,0-1
716,716,1,1,1,1-1
156,646,1,0,1,0-1
149,754,1,0,1,0-1
74,450,1,0,1,0-1
30,414,1,0,1,0-1
173,482,1,0,1,0-1
436,841,1,1,1,1-1
254,515,1,0,1,0-1
327,613,1,0,1,0-1
215,580,1,0,1,0-1
340,547,1,0,1,0-1
343,633,1,0,1,0-1
276,745,1,0,1,0-1
322,726,1,0,1,0-1
54,532,1,0,1,0-1
127,849,1,0,1,0-1
137,848,1,0,1,0-1
227,603,1,0,1,0-1
0,504,1,0,1,0-1
157,843,1,0,1,0-1
168,578,1,0,1,0-1
201,842,1,0,1,0-1
326,425,1,0,1,0-1
148,543,1,0,1,0-1
3,740,1,0,1,0-1
187,881,1,0,1,0-1
179,532,1,0,1,0-1
226,411,1,0,1,0-1
63,469,1,0,1,0-1
295,655,1,0,1,0-1
220,638,1,0,1,0-1
238,482,1,0,1,0-1
359,890,1,0,1,0-1
314,555,1,0,1,0-1
406,763,1,0,1,0-1
364,879,1,0,1,0-1
283,747,1,0,1,0-1
381,884,1,0,1,0-1
25,868,1,0,1,0-1
262,561,1,0,1,0-1
78,839,1,0,1,0-1
246,536,1,0,1,0-1
183,687,1,0,1,0-1
267,683,1,0,1,0-1
373,783,1,0,1,0-1
18,733,1,0,1,0-1
388,649,1,0,1,0-1
367,611,1,0,1,0-1
182,564,1,0,1,0-1
184,724,1,0,1,0-1
780,780,1,1,1,1-1
5,527,1,0,1,0-1
297,605,1,0,1,0-1
150,840,1,0,1,0-1
267,772,1,0,1,0-1
279,804,1,0,1,0-1
726,726,1,1,1,1-1
55,811,1,0,1,0-1
256,423,1,0,1,0-1
289,653,1,0,1,0-1
61,877,1,0,1,0-1
189,663,1,0,1,0-1
319,440,1,0,1,0-1
614,614,1,1,1,1-1
353,667,1,0,1,0-1
211,722,1,0,1,0-1
