dest_node,source_node,weight,source_class,dest_class,edge_class
1002304,2006109,1,1,2,1-2
3001187,1002921,1,3,2,0-2
1004044,2004379,1,1,2,1-2
3004865,2023197,1,3,2,0-2
3002527,1001096,1,3,2,0-2
3006159,1003452,1,3,2,0-2
1000368,2005972,1,1,2,1-2
1003772,2030825,1,1,2,1-2
1004079,2015385,1,1,2,1-2
3003914,2027536,1,3,2,0-2
1001416,2003631,1,1,2,1-2
3002378,2002204,1,3,2,0-2
1004555,2024834,1,1,2,1-2
3003612,1001945,1,3,2,0-2
3000811,2006900,1,3,2,0-2
1000548,2001238,1,1,2,1-2
1004599,2025022,1,1,2,1-2
3004649,1002367,1,3,2,0-2
3003084,1004114,1,3,2,0-2
3000824,2030843,1,3,2,0-2
3000796,2020420,1,3,2,0-2
1000044,2004036,1,1,2,1-2
1002873,2028087,1,1,2,1-2
1003935,2017829,1,1,2,1-2
1003462,2009547,1,1,2,1-2
3000074,2028848,1,3,2,0-2
3001518,1004072,1,3,2,0-2
1002910,2020679,1,1,2,1-2
3005729,2003995,1,3,2,0-2
1004760,2007718,1,1,2,1-2
3005267,2021517,1,3,2,0-2
3007068,1001236,1,3,2,0-2
1002394,2029604,1,1,2,1-2
3005997,1001736,1,3,2,0-2
3006829,2016134,1,3,2,0-2
3005611,1000516,1,3,2,0-2
3001847,2027320,1,3,2,0-2
3006367,2002393,1,3,2,0-2
3006304,2013527,1,3,2,0-2
3005991,2019292,1,3,2,0-2
3005873,1001373,1,3,2,0-2
3007448,2003761,1,3,2,0-2
1003410,2011995,1,1,2,1-2
1003722,2027320,1,1,2,1-2
3002251,2025426,1,3,2,0-2
3004860,2021517,1,3,2,0-2
3000225,2021508,1,3,2,0-2
1001966,2027195,1,1,2,1-2
1001806,2008461,1,1,2,1-2
3003988,2010188,1,3,2,0-2
1003543,2017931,1,1,2,1-2
1002326,2008290,1,1,2,1-2
3002453,1002740,1,3,2,0-2
1001392,2026076,1,1,2,1-2
3004362,2008584,1,3,2,0-2
