dest_node,source_node,weight,source_class,dest_class,edge_class
1003787,2023222,1,1,2,1-2
1002530,2020858,1,1,2,1-2
3007978,1001840,1,3,2,3-2
1003259,2019251,1,1,2,1-2
1000290,2030639,1,1,2,1-2
1001722,2018791,1,1,2,1-2
1004649,2016862,1,1,2,1-2
3007568,2023257,1,3,2,3-2
1003019,2017038,1,1,2,1-2
3001904,2025026,1,3,2,3-2
1000376,2004822,1,1,2,1-2
1003450,2015642,1,1,2,1-2
1000628,2009655,1,1,2,1-2
1002757,2008528,1,1,2,1-2
1002041,2009031,1,1,2,1-2
1004657,2010874,1,1,2,1-2
1003805,2006740,1,1,2,1-2
3002676,2000084,1,3,2,3-2
3005516,1000337,1,3,2,3-2
3005828,2015671,1,3,2,3-2
3006247,1001540,1,3,2,3-2
3003454,2012729,1,3,2,3-2
1001454,2002269,1,1,2,1-2
1003927,2030270,1,1,2,1-2
1003353,2027363,1,1,2,1-2
3007346,1002748,1,3,2,3-2
3003904,2002335,1,3,2,3-2
1002076,2028584,1,1,2,1-2
1000695,2023324,1,1,2,1-2
3001439,2032665,1,3,2,3-2
3007192,1001540,1,3,2,3-2
3006055,2003964,1,3,2,3-2
3000977,2025154,1,3,2,3-2
1002514,2018341,1,1,2,1-2
3001844,2019399,1,3,2,3-2
1000874,2019780,1,1,2,1-2
1001331,2017250,1,1,2,1-2
3004875,2009269,1,3,2,3-2
3002825,2028938,1,3,2,3-2
1004029,2025687,1,1,2,1-2
3000232,2023800,1,3,2,3-2
3002860,2029498,1,3,2,3-2
3001885,2008236,1,3,2,3-2
3007132,2021517,1,3,2,3-2
1003864,2026690,1,1,2,1-2
3001588,2002281,1,3,2,3-2
1001724,2024164,1,1,2,1-2
3000656,1001361,1,3,2,3-2
3001035,1001759,1,3,2,3-2
1000040,2014456,1,1,2,1-2
1002785,2011794,1,1,2,1-2
3002218,1000522,1,3,2,3-2
1004667,2020562,1,1,2,1-2
3004947,2010578,1,3,2,3-2
3006662,2014797,1,3,2,3-2
